siteId,structureList,siteNodeId,virtualTreeList,type,nodeName,bodySiteNodeId,snType,lastSiteNodeId,labelCollections,id,attribute,isCreatedSite,instanceType
631a98871e155c0c36c30322,,631a98871e155c0c36c30322@6461ea4e6d43177229aa4206,,自建,顶分类,631a98871e155c0c36c30322@6461e881ff504e3ba58c5278,0,,,631a98871e155c0c36c30322@6461ea4e6d43177229aa4206,INSTANCE,False,
631a98871e155c0c36c30322,,631a98871e155c0c36c30322@6461ea736d43177229aa420a,,自建,项目,631a98871e155c0c36c30322@6461e881ff504e3ba58c5279,0,,,631a98871e155c0c36c30322@6461ea736d43177229aa420a,INSTANCE,True,
631a98871e155c0c36c30322,,631a98871e155c0c36c30322@6461ea736d43177229aa420b,,自建,知识库,631a98871e155c0c36c30322@6461e881ff504e3ba58c5279,0,,,631a98871e155c0c36c30322@6461ea736d43177229aa420b,INSTANCE,False,
631a98871e155c0c36c30322,,631a98871e155c0c36c30322@6461ea736d43177229aa420c,,自建,OA,631a98871e155c0c36c30322@6461e881ff504e3ba58c5279,0,,,631a98871e155c0c36c30322@6461ea736d43177229aa420c,INSTANCE,True,
631a98871e155c0c36c30322,,631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d,,自建,2023-7-28系统配置站点,631a98871e155c0c36c30322@64c375dd1cce3d54abc0ee85,0,,[],631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d,INSTANCE,True,
631a98871e155c0c36c30322,,631a98871e155c0c36c30322@64c37e691cce3d54abc0f2fd,,自建,deepc项目管理站点,631a98871e155c0c36c30322@64c37e3f1cce3d54abc0f2d9,0,,[],631a98871e155c0c36c30322@64c37e691cce3d54abc0f2fd,INSTANCE,True,
631a98871e155c0c36c30322,,631a98871e155c0c36c30322@64c716d371b89d19c2491692,,自建,华东院标准站点a,631a98871e155c0c36c30322@64c37e3f1cce3d54abc0f2d9,0,,[],631a98871e155c0c36c30322@64c716d371b89d19c2491692,INSTANCE,True,
631a98871e155c0c36c30322,,631a98871e155c0c36c30322@64c716d371b89d19c2491693,,自建,水利水电工程标准站点a,631a98871e155c0c36c30322@64c37e3f1cce3d54abc0f2d9,0,,[],631a98871e155c0c36c30322@64c716d371b89d19c2491693,INSTANCE,True,
631a98871e155c0c36c30322,,631a98871e155c0c36c30322@64c716d371b89d19c2491694,,自建,抽蓄工程标准站点a,631a98871e155c0c36c30322@64c37e3f1cce3d54abc0f2d9,0,,[],631a98871e155c0c36c30322@64c716d371b89d19c2491694,INSTANCE,True,
631a98871e155c0c36c30322,,631a98871e155c0c36c30322@64c716d371b89d19c2491695,,自建,景宁抽水蓄能电站a,631a98871e155c0c36c30322@64c37e3f1cce3d54abc0f2d9,0,,[],631a98871e155c0c36c30322@64c716d371b89d19c2491695,INSTANCE,False,
631a98871e155c0c36c30322,,631a98871e155c0c36c30322@64c7238471b89d19c2491d0d,,自建,fu_ml_test,631a98871e155c0c36c30322@64c37e3f1cce3d54abc0f2d9,0,,[],631a98871e155c0c36c30322@64c7238471b89d19c2491d0d,INSTANCE,False,
631a98871e155c0c36c30322,,631a98871e155c0c36c30322@64c9ca721b6654745841f12e,,自建,图档元数据管理站点0802,631a98871e155c0c36c30322@64c37e3f1cce3d54abc0f2d9,0,,[],631a98871e155c0c36c30322@64c9ca721b6654745841f12e,INSTANCE,True,
631a98871e155c0c36c30322,,631a98871e155c0c36c30322@64ca10a3d511180af5ed38a5,,自建,测试站点,631a98871e155c0c36c30322@64c37e3f1cce3d54abc0f2d9,0,,[],631a98871e155c0c36c30322@64ca10a3d511180af5ed38a5,INSTANCE,True,
631a98871e155c0c36c30322,,631a98871e155c0c36c30322@64cb9007c217bf1c68ca3695,,自建,DeepC标准站点,631a98871e155c0c36c30322@64cb8fefc217bf1c68ca3693,0,,[],631a98871e155c0c36c30322@64cb9007c217bf1c68ca3695,INSTANCE,True,
