virtualTreeList,siteNodeId,labelCollections,pid,bodyRelationId
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5ee70980c963216b59786,,,64b5edf8980c963216b59768
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5ee70980c963216b59787,,,64b5edf8980c963216b59768
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5ee70980c963216b59789,,,64b5edf8980c963216b59768
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5ee70980c963216b5978a,,,64b5edf8980c963216b59768
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5ee70980c963216b5978b,,,64b5edf8980c963216b59768
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5ef81980c963216b597e4,,637dde4778d2a708fc7ba545@64b5ee70980c963216b59786,64b5edf8980c963216b59769
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5ef90980c963216b597ed,,637dde4778d2a708fc7ba545@64b5ef81980c963216b597e4,64b5edf8980c963216b5976a
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5ef9c980c963216b597f3,,637dde4778d2a708fc7ba545@64b5ef90980c963216b597ed,64b5edf8980c963216b5976b
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5efa6980c963216b597f9,,637dde4778d2a708fc7ba545@64b5ef9c980c963216b597f3,64b5edf8980c963216b5976c
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5efb1980c963216b597ff,,637dde4778d2a708fc7ba545@64b5efa6980c963216b597f9,64b5edf8980c963216b5976d
